maximum,status
100223,PREDECESSOR_REPORTED_COMPLETE
100253,PREDECESSOR_REPORTED_COMPLETE
100561,PREDECESSOR_REPORTED_COMPLETE
100591,PREDECESSOR_REPORTED_COMPLETE
100627,PREDECESSOR_REPORTED_COMPLETE
100711,PREDECESSOR_REPORTED_COMPLETE
100859,PREDECESSOR_REPORTED_COMPLETE
101221,PREDECESSOR_REPORTED_COMPLETE
101239,PREDECESSOR_REPORTED_COMPLETE
101293,PREDECESSOR_REPORTED_COMPLETE
101363,PREDECESSOR_REPORTED_COMPLETE
101429,PREDECESSOR_REPORTED_COMPLETE
101513,PREDECESSOR_REPORTED_COMPLETE
101749,PREDECESSOR_REPORTED_COMPLETE
101813,PREDECESSOR_REPORTED_COMPLETE
101843,PREDECESSOR_REPORTED_COMPLETE
102121,PREDECESSOR_REPORTED_COMPLETE
102163,PREDECESSOR_REPORTED_COMPLETE
102367,PREDECESSOR_REPORTED_COMPLETE
102463,PREDECESSOR_REPORTED_COMPLETE
102593,PREDECESSOR_REPORTED_COMPLETE
102715,PREDECESSOR_REPORTED_COMPLETE
102883,PREDECESSOR_REPORTED_COMPLETE
103099,PREDECESSOR_REPORTED_COMPLETE
103123,PREDECESSOR_REPORTED_COMPLETE
103183,PREDECESSOR_REPORTED_COMPLETE
103237,PREDECESSOR_REPORTED_COMPLETE
103249,PREDECESSOR_REPORTED_COMPLETE
103253,PREDECESSOR_REPORTED_COMPLETE
103267,PREDECESSOR_REPORTED_COMPLETE
103373,PREDECESSOR_REPORTED_COMPLETE
103591,PREDECESSOR_REPORTED_COMPLETE
103787,PREDECESSOR_REPORTED_COMPLETE
103847,PREDECESSOR_REPORTED_COMPLETE
104209,PREDECESSOR_REPORTED_COMPLETE
104417,PREDECESSOR_REPORTED_COMPLETE
104491,PREDECESSOR_REPORTED_COMPLETE
104597,PREDECESSOR_REPORTED_COMPLETE
104605,PREDECESSOR_REPORTED_COMPLETE
104803,PREDECESSOR_REPORTED_COMPLETE
105001,PREDECESSOR_REPORTED_COMPLETE
105449,PREDECESSOR_REPORTED_COMPLETE
105473,PREDECESSOR_REPORTED_COMPLETE
105571,PREDECESSOR_REPORTED_COMPLETE
105577,PREDECESSOR_REPORTED_COMPLETE
105583,PREDECESSOR_REPORTED_COMPLETE
105713,PREDECESSOR_REPORTED_COMPLETE
105773,PREDECESSOR_REPORTED_COMPLETE
105781,PREDECESSOR_REPORTED_COMPLETE
106039,PREDECESSOR_REPORTED_COMPLETE
106063,PREDECESSOR_REPORTED_COMPLETE
106397,PREDECESSOR_REPORTED_COMPLETE
106543,PREDECESSOR_REPORTED_COMPLETE
106561,PREDECESSOR_REPORTED_COMPLETE
106601,PREDECESSOR_REPORTED_COMPLETE
106831,PREDECESSOR_REPORTED_COMPLETE
106877,PREDECESSOR_REPORTED_COMPLETE
106997,PREDECESSOR_REPORTED_COMPLETE
107183,PREDECESSOR_REPORTED_COMPLETE
107383,PREDECESSOR_REPORTED_COMPLETE
107399,PREDECESSOR_REPORTED_COMPLETE
107413,PREDECESSOR_REPORTED_COMPLETE
107483,PREDECESSOR_REPORTED_COMPLETE
107797,PREDECESSOR_REPORTED_COMPLETE
107927,PREDECESSOR_REPORTED_COMPLETE
107957,PREDECESSOR_REPORTED_COMPLETE
108143,PREDECESSOR_REPORTED_COMPLETE
108359,PREDECESSOR_REPORTED_COMPLETE
108383,PREDECESSOR_REPORTED_COMPLETE
108463,PREDECESSOR_REPORTED_COMPLETE
108475,PREDECESSOR_REPORTED_COMPLETE
108659,PREDECESSOR_REPORTED_COMPLETE
108769,PREDECESSOR_REPORTED_COMPLETE
109279,PREDECESSOR_REPORTED_COMPLETE
109523,PREDECESSOR_REPORTED_COMPLETE
109621,PREDECESSOR_REPORTED_COMPLETE
109673,PREDECESSOR_REPORTED_COMPLETE
109771,PREDECESSOR_REPORTED_COMPLETE
109919,PREDECESSOR_REPORTED_COMPLETE
